Employee_ID,Department,Role,Login_Timestamp,Logout_Timestamp,File_Access_Timestamp,File_Access_Frequency,Access_Anomaly_Flag,Suspicious_Activity_Flag,Work_Duration,Idle_Time,VPN_Usage,Behavior_Label,Latitude,Longitude
HR001,HR,Analyst,13-04-2024 16:19,14-04-2024 00:14,08-02-2024,7,0,0,7.916666667,1,FALSE,Normal,-73.76309991,-70.13234412
HR002,HR,Developer,25-04-2024 16:30,26-04-2024 02:22,17-09-2024,18,0,0,9.866666667,2,TRUE,Normal,72.48205338,42.69974925
HR003,HR,Manager,23-02-2024 17:19,23-02-2024 22:27,03-07-2024,6,0,0,5.133333333,0,TRUE,Normal,-13.20322118,-97.46852017
HR004,HR,Developer,14-08-2024 15:16,14-08-2024 20:31,18-06-2024,5,0,0,5.25,2,FALSE,Normal,29.20025896,59.9042519
HR005,HR,Manager,27-07-2024 08:56,27-07-2024 15:43,17-11-2024,6,0,0,6.783333333,1,TRUE,Normal,-87.0351459,152.9642424
HR006,HR,Intern,14-10-2024 18:39,14-10-2024 22:42,01-04-2024,12,0,0,4.05,1,TRUE,Normal,-11.6498618,-73.04443288
HR007,HR,Developer,16-07-2024 14:21,17-07-2024 00:42,18-04-2024,19,0,0,10.35,0,FALSE,Normal,-28.92577663,79.20975646
HR008,HR,Intern,27-05-2024 17:30,28-05-2024 00:36,02-04-2024,20,0,0,7.1,2,FALSE,Normal,3.374318404,-42.18474577
HR009,HR,Manager,02-04-2024 15:48,03-04-2024 00:08,18-06-2024,20,0,1,8.333333333,0,FALSE,Suspicious,42.77916941,172.2451636
HR010,HR,Developer,25-05-2024 08:18,25-05-2024 15:47,23-10-2024,16,1,0,7.483333333,0,TRUE,Critical,-88.98668444,175.4279292
HR011,HR,Analyst,05-10-2024 11:49,05-10-2024 19:59,20-01-2024,8,0,0,8.166666667,2,FALSE,Normal,-78.23547622,67.88328411
HR012,HR,Intern,08-04-2024 15:09,08-04-2024 21:20,25-07-2024,15,0,0,6.183333333,1,TRUE,Normal,19.05259718,-84.45945311
HR013,HR,Intern,20-04-2024 18:21,21-04-2024 04:46,11-04-2024,16,0,0,10.41666667,0,TRUE,Normal,26.81784407,-22.28639816
HR014,HR,Analyst,01-01-2024 18:27,02-01-2024 03:23,12-05-2024,13,0,0,8.933333333,2,TRUE,Normal,-20.17298905,160.0063761
HR015,HR,Intern,20-08-2024 09:51,20-08-2024 14:25,27-08-2024,13,0,1,4.566666667,1,TRUE,Suspicious,19.35123502,-36.85310193
HR016,HR,Developer,07-07-2024 12:28,07-07-2024 22:44,13-04-2024,15,0,0,10.26666667,1,TRUE,Normal,-74.1595242,29.1572812
HR017,HR,Manager,29-05-2024 12:37,29-05-2024 19:41,02-05-2024,13,0,0,7.066666667,1,TRUE,Normal,10.26869988,-112.9082312
HR018,HR,Manager,23-09-2024 18:09,24-09-2024 04:54,13-04-2024,19,0,0,10.75,2,TRUE,Normal,-24.74693636,-115.4618729
HR019,HR,Manager,09-11-2024 09:02,09-11-2024 19:20,06-09-2024,6,0,0,10.3,2,TRUE,Normal,-78.20535407,5.949715173
HR020,HR,Analyst,16-05-2024 08:09,16-05-2024 13:01,02-01-2024,5,0,1,4.866666667,1,FALSE,Suspicious,-59.08699064,160.917659
HR021,HR,Analyst,10-09-2024 17:17,11-09-2024 00:38,20-05-2024,7,0,0,7.35,2,FALSE,Normal,56.93662523,-176.8396439
HR022,HR,Manager,27-04-2024 17:41,28-04-2024 03:57,08-01-2024,8,0,0,10.26666667,2,TRUE,Normal,60.24359673,-2.787190486
HR023,HR,Intern,14-07-2024 17:10,15-07-2024 02:38,30-01-2024,12,0,0,9.466666667,0,TRUE,Normal,1.98432661,72.32180724
HR024,HR,Analyst,05-06-2024 15:58,05-06-2024 20:37,11-04-2024,16,0,0,4.65,1,TRUE,Normal,18.13498437,16.53032975
HR025,HR,Intern,26-02-2024 17:42,27-02-2024 00:01,03-10-2024,9,0,0,6.316666667,0,TRUE,Normal,-32.83567645,72.9221304
